Indicator,PUBLISH STATES,Year,Age Group,Sex,Region,Causes,Display Value,Numeric,Low,High,Comments
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Diphtheria,0,0.04,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Unipolar depressive disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Ascariasis,0,0.07,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Congenital anomalies,19,19.47,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Chagas disease,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Macular degeneration,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Vitamin A deficiency,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Dengue,0,0.21,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Road injury,9,9.05,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Upper respiratory infections,0,0.21,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Refractive errors,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Congenital heart anomalies,1,1.20,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Asthma,6,5.80,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Neurological conditions,10,10.30,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Meningitis,37,36.85,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Liver cancer,0,0.06,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Stroke,269,269.02,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Glaucoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Alzheimer's disease and other dementias,1,0.59,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Colon and rectum cancers,3,3.05,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Cirrhosis of the liver,17,16.69,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Sense organ diseases,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Respiratory infections,212,212.34,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,All Causes,2312,2311.57,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Measles,65,65.05,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,"Cardiomyopathy, myocarditis, endocarditis",7,6.57,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Other neoplasms,0,0.44,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Other unintentional injuries,14,13.63,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Trypanosomiasis,7,7.07,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Leukaemia,2,1.62,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Iodine deficiency,0,0.29,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Peptic ulcer disease,13,13.16,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Cataracts,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,All Causes,1112,1112.47,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Schizophrenia,1,0.62,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Road injury,32,31.67,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Falls,12,12.44,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Respiratory diseases,27,26.70,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Gynecological diseases,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Other nutritional deficiencies,0,0.08,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Leishmaniasis,3,2.66,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Epilepsy,16,16.22,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Anxiety disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Other congenital anomalies,0,0.41,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Hookworm disease,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Otitis media,0,0.04,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Other genitourinary diseases,3,3.02,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Malignant neoplasms,4,3.78,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Dental caries,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Corpus uteri cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Tetanus,4,3.78,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Tuberculosis,184,184.31,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Oesophagus cancer,2,1.78,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Osteoarthritis,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,STDs excluding HIV,1,1.02,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Meningitis,28,27.74,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Other unintentional injuries,19,18.92,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Lower respiratory infections,28,27.90,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,"Endocrine, blood, immune disorders",13,12.85,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Stomach cancer,2,2.48,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Dengue,0,0.36,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Schistosomiasis,2,2.05,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Trichomoniasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Other chromosomal anomalies,1,0.96,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Infertility,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Cervix uteri cancer,73,73.33,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Diabetes mellitus,95,95.28,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Respiratory infections,27,27.20,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Ovary cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Corpus uteri cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,"Endocrine, blood, immune disorders",13,13.17,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Other neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Exposure to forces of nature,0,0.05,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,"Cardiomyopathy, myocarditis, endocarditis",1,1.27,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Hyperplasia of prostate,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Diabetes mellitus,10,9.89,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Edentulism,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Malaria,22,21.96,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Idiopathic intellectual disability,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Eating disorders,0,0.24,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Parasitic and vector diseases,33,33.45,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Kidney diseases,4,3.76,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Multiple sclerosis,0,0.16,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Injuries,61,60.76,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Drug use disorders,1,1.01,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Other mental and behavioural disorders,0,0.47,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Stroke,49,48.62,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Neonatal sepsis and infections,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Interpersonal violence,15,14.54,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Intestinal nematode infections,0,0.06,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Other STDs,0,0.32,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Other infectious diseases,10,9.82,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Musculoskeletal diseases,3,2.53,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Other digestive diseases,15,15.14,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Cardiovascular diseases,8,8.31,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Poisonings,4,3.96,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,"Trachea, bronchus, lung cancers",1,0.80,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Colon and rectum cancers,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Eating disorders,0,0.14,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Neonatal conditions,107,106.63,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Drug use disorders,0,0.34,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Vitamin A deficiency,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Trachoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Gynecological diseases,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Sense organ diseases,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Liver cancer,6,5.62,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Infertility,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Anxiety disorders,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Tetanus,10,10.11,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Measles,0,0.06,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Dengue,0,0.41,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Other congenital anomalies,9,9.17,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Back and neck pain,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Trachoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Colon and rectum cancers,2,2.48,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Other neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Congenital anomalies,2,1.85,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Cervix uteri cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Upper respiratory infections,0,0.12,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,"Cardiomyopathy, myocarditis, endocarditis",31,30.78,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Exposure to forces of nature,0,0.05,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Malaria,7,6.98,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Tuberculosis,1,0.83,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Intestinal nematode infections,0,0.06,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Chagas disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Parkinson's disease,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Appendicitis,2,2.45,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Breast cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Chlamydia,0,0.12,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Melanoma and other skin cancers,1,0.57,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Other neoplasms,2,1.81,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,"Fire, heat and hot substances",14,14.29,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Osteoarthritis,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Cleft lip and cleft palate,0,0.12,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Neonatal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,"Lymphomas, multiple myeloma",11,11.21,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Noncommunicable diseases,216,216.20,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Bladder cancer,10,9.77,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Interpersonal violence,6,5.71,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Rheumatoid arthritis,0,0.47,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Oral conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Asthma,3,2.60,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Epilepsy,11,11.29,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Collective violence and legal intervention,0,0.30,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Mouth and oropharynx cancers,2,1.50,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Macular degeneration,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Collective violence and legal intervention,16,15.87,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Maternal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Trichomoniasis,0,0.00,,,
